Tweet,Message,Match,Polarity
491,"""If you believe Donald Trump cares about corruption anywhere, I have a certificate from Trump University to sell you. This",corruption,Negative
492,"Skills and Entrepreneurship Bill has been passed in the @DelhiAssembly. ""This initiative will explore new possibilities",NA,Neutral
493,Over the past couple weeks I spent time at #CUHK and #PolyU as universities turned into fortresses in Hong Kong and som,NA,Neutral
494,"Far and away my favorite sports teams, ranked by preference: - The Texas Christian University Horned Frogs - -",favorite,Positive
495,This woman is a deranged idiot who has no business being a professor to impressionable young minds at such a 'prestigious',idiot,Negative
496,Did you know University Education is free in: Brazil Czech Republic Finland France Germany Greece Iceland Luxembourg Norway,free,Positive
497,"December 4th School Attack Anniversary: 2009 Vestal, NY; Richard T. Antoun, 77, a professor of anthropology, was stabbed to death at Binghamton University. Police arrested 46-year-old graduate student from Saudi Arabia. #NeverAgain @MomsDemand @Everytown",death,Negative
498,"A tribute to this great state and university. Death Valley, where opponents dreams come to die... but where mine came tru",great,Positive
499,"Yesterday, I sent a letter to FL university presidents requesting info on the steps taken to safeguard Americans tech &amp;",NA,Neutral
500,"Just got approved for the Direct Funding Ontario program. Looking for someone interested in work as a personal attendant (doesnt have to be a PSW), could be a college/university student, evenings &amp; weekends in Etobicoke.",work,Positive
